,ab_id,px,pz,code,pitch_type,b_count,s_count,zones,swing,result
37,2015000281,-0.287,1.66,C,FF,0.0,0.0,6,0,Ball
38,2015000281,0.073,2.977,X,FF,0.0,1.0,1,1,Out
66,2015000297,-0.746,2.593,E,FF,0.0,0.0,3,1,Hit
101,2015000314,0.066,1.112,B,CH,0.0,0.0,15,0,Ball
102,2015000314,-0.5870000000000001,3.607,B,FF,1.0,0.0,0,0,Ball
103,2015000314,0.518,1.077,S,CH,2.0,0.0,15,1,Strike
104,2015000314,-1.277,1.651,B,FF,2.0,1.0,12,0,Ball
105,2015000314,0.883,1.463,S,CH,3.0,1.0,16,1,Strike
106,2015000314,0.693,1.732,F,CH,3.0,2.0,8,1,Foul
107,2015000314,0.364,1.015,S,CH,3.0,2.0,15,1,Strike
1486,2015005722,0.08,3.245,C,FF,0.0,0.0,1,0,Ball
1487,2015005722,0.5329999999999999,2.8560000000000003,C,FC,0.0,1.0,5,0,Ball
1488,2015005722,1.057,1.96,F,SL,0.0,2.0,13,1,Foul
1489,2015005722,0.39,1.729,X,FS,0.0,2.0,8,1,Out
1513,2015005744,0.7170000000000001,2.222,C,FF,0.0,0.0,8,0,Ball
1514,2015005744,0.568,2.9930000000000003,C,FC,0.0,1.0,2,0,Ball
1515,2015005744,1.291,2.705,F,FC,0.0,2.0,13,1,Foul
1516,2015005744,-0.358,0.281,B,FS,0.0,2.0,15,0,Ball
1517,2015005744,0.602,2.277,F,SL,1.0,2.0,5,1,Foul
1518,2015005744,-0.795,2.152,D,SI,1.0,2.0,6,1,Hit
1546,2015005757,0.462,2.753,F,FF,0.0,0.0,5,1,Foul
1547,2015005757,0.965,2.104,C,SI,0.0,1.0,13,0,Ball
1548,2015005757,0.996,0.514,W,SL,0.0,2.0,16,1,Strike
2076,2015008927,0.948,1.808,B,FF,0.0,0.0,13,0,Ball
2077,2015008927,0.281,1.771,C,FF,1.0,0.0,8,0,Ball
2078,2015008927,-0.084,1.5590000000000002,X,FF,1.0,1.0,7,1,Out
2096,2015008941,0.28300000000000003,1.755,C,FF,0.0,0.0,8,0,Ball
2097,2015008941,0.185,1.53,B,CU,0.0,1.0,7,0,Ball
2098,2015008941,-0.625,2.374,C,CU,1.0,1.0,3,0,Ball
2099,2015008941,0.551,2.099,F,FF,1.0,2.0,8,1,Foul
2100,2015008941,-0.501,2.467,E,CH,1.0,2.0,3,1,Hit
2119,2015008958,0.943,1.662,B,FF,0.0,0.0,13,0,Ball
2120,2015008958,-0.12,2.136,X,FF,1.0,0.0,7,1,Out
22519,2015107895,-0.377,3.305,B,FF,0.0,0.0,0,0,Ball
22520,2015107895,0.196,1.43,C,FF,1.0,0.0,15,0,Ball
22521,2015107895,0.44,1.94,X,FF,1.0,1.0,8,1,Out
22549,2015107913,0.772,2.52,B,FF,0.0,0.0,5,0,Ball
22550,2015107913,1.237,1.104,B,SL,1.0,0.0,16,0,Ball
22551,2015107913,0.023,2.009,F,SL,2.0,0.0,7,1,Foul
22552,2015107913,-1.149,2.341,C,FF,2.0,1.0,12,0,Ball
22553,2015107913,0.795,2.262,F,SL,2.0,2.0,5,1,Foul
22554,2015107913,-0.433,3.134,F,CU,2.0,2.0,0,1,Foul
22555,2015107913,-1.579,2.101,B,FF,2.0,2.0,12,0,Ball
22556,2015107913,0.6759999999999999,2.279,S,SL,3.0,2.0,5,1,Strike
22578,2015107928,0.43,0.838,B,FF,0.0,0.0,15,0,Ball
22579,2015107928,-0.524,3.903,B,FF,1.0,0.0,10,0,Ball
22580,2015107928,1.153,2.103,B,FF,2.0,0.0,13,0,Ball
22581,2015107928,-0.7490000000000001,3.2310000000000003,C,FF,3.0,0.0,0,0,Ball
22582,2015107928,-0.254,3.053,F,FF,3.0,1.0,1,1,Foul
22583,2015107928,0.039,3.092,X,FF,3.0,2.0,1,1,Out
22601,2015107948,-0.486,2.927,X,FF,0.0,0.0,3,1,Out
28033,2015133548,-0.255,2.546,C,FF,0.0,0.0,4,0,Ball
28034,2015133548,-0.317,1.257,B,FF,0.0,1.0,15,0,Ball
28035,2015133548,1.757,0.983,B,FF,1.0,1.0,16,0,Ball
28036,2015133548,0.7170000000000001,0.957,S,FC,2.0,1.0,15,1,Strike
28037,2015133548,0.451,3.337,X,FF,2.0,2.0,2,1,Out
28049,2015133560,1.136,2.067,C,FC,0.0,0.0,13,0,Ball
28050,2015133560,1.544,1.751,F,FC,0.0,1.0,13,1,Foul
28051,2015133560,-0.069,0.993,F,CU,0.0,2.0,15,1,Foul
28052,2015133560,0.637,0.353,*B,CU,0.0,2.0,15,0,Ball
28053,2015133560,0.036000000000000004,1.626,E,CU,1.0,2.0,7,1,Hit
28735,2015136781,0.234,3.229,,FC,0.0,0.0,1,0,Ball
28736,2015136781,-1.228,3.209,,FC,0.0,1.0,12,0,Ball
28737,2015136781,1.056,1.73,,SL,1.0,1.0,13,0,Ball
28738,2015136781,0.835,2.535,,FC,2.0,1.0,13,0,Ball
28739,2015136781,0.8440000000000001,1.837,,SL,2.0,2.0,13,0,Ball
28755,2015136793,1.388,2.236,,FC,0.0,0.0,13,0,Ball
28756,2015136793,-0.7829999999999999,2.502,,FF,1.0,0.0,3,0,Ball
28757,2015136793,1.197,2.901,,FF,1.0,1.0,13,0,Ball
28758,2015136793,-0.583,2.903,,FC,2.0,1.0,3,0,Ball
28772,2015136809,1.2990000000000002,1.598,,SL,0.0,0.0,13,0,Ball
28773,2015136809,1.463,1.766,,FC,1.0,0.0,13,0,Ball
28774,2015136809,0.639,2.082,,CH,2.0,0.0,8,0,Ball
28775,2015136809,0.3720000000000001,1.928,,FC,2.0,1.0,8,0,Ball
28776,2015136809,-1.329,2.422,,FF,2.0,2.0,12,0,Ball
28777,2015136809,1.595,3.258,,FF,2.0,2.0,13,0,Ball
28778,2015136809,-0.7979999999999999,3.843,,FT,3.0,2.0,10,0,Ball
28779,2015136809,0.877,2.496,,FC,3.0,2.0,13,0,Ball
28789,2015136826,0.732,3.045,,FC,0.0,0.0,2,0,Ball
28790,2015136826,-0.289,3.569,,FC,0.0,1.0,0,0,Ball
28791,2015136826,-1.391,3.607,,FF,1.0,1.0,12,0,Ball
28792,2015136826,-0.831,1.208,,CH,2.0,1.0,15,0,Ball
28793,2015136826,0.495,3.1660000000000004,,FC,3.0,1.0,2,0,Ball
28794,2015136826,-0.417,3.172,,FF,3.0,2.0,0,0,Ball
28795,2015136826,0.131,2.432,,FC,3.0,2.0,4,0,Ball
29441,2015140844,0.277,2.174,C,FF,0.0,0.0,7,0,Ball
29442,2015140844,0.505,2.596,C,FF,0.0,1.0,5,0,Ball
29443,2015140844,-0.8759999999999999,0.334,B,CU,0.0,2.0,14,0,Ball
